Table 2. Numerical values of current densities from fig 7b
anodic part 
E, mV	logj, mA/cm2
-585	-2.43
-580	-2.03
-576	-1.83
-571	-1.78
-566	-1.69
-561	-1.59
-557	-1.53
-552	-1.48
-547	-1.43
-543	-1.39
-538	-1.34
-533	-1.32
-529	-1.29
-524	-1.24
-519	-1.20
-514	-1.18
-510	-1.15
-505	-1.13
-500	-1.09
-496	-1.07
-491	-1.05
-486	-1.04


cathodic part 
E, mV	logj, mA/cm2
-637	-1.02
-632	-1.06
-627	-1.11
-623	-1.14
-618	-1.20
-613	-1.24
-608	-1.30
-601	-1.43
-599	-1.48
-594	-1.53
-590	-1.73

