Table 3: The numerical values of current densities from fig. 8a 
anodic part 
E, mV	logj, mA/cm2
-629	-2.15
-625	-1.85
-620	-1.72
-615	-1.63
-610	-1.45
-605	-1.35
-601	-1.31
-596	-1.27
-591	-1.25
-586	-1.21
-581	-1.17
-576	-1.14
-571	-1.12
-566	-1.09
-562	-1.07
-557	-1.05
-552	-1.03
-547	-1.00

cathodic part  
E, mV	logj, mA/cm2
-682	-1.03
-677	-1.05
-672	-1.11
-668	-1.18
-663	-1.23
-658	-1.26
-653	-1.35
-648	-1.48
-644	-1.67
-639	-1.93

