Table 1: Numerical values of current densities from fig. 7a 
anodic part 
E, mV	logj, mA/cm2
-534	-2.39
-529	-2.09
-524	-1.92
-520	-1.74
-515	-1.69
-510	-1.61
-506	-1.55
-501	-1.49
-496	-1.44
-492	-1.42
-487	-1.39
-482	-1.34
-477	-1.31
-472	-1.28
-468	-1.26
-463	-1.22
-458	-1.19
-454	-1.18
-449	-1.16

cathodic part 
E, mV	logj, mA/cm2
-586	-1.03
-581	-1.09
-576	-1.11
-571	-1.16
-567	-1.20
-562	-1.22
-557	-1.26
-553	-1.31
-548	-1.39
-543	-1.44

